Variable,Value,NX,NXc,NX'c,Nc,N'c,N,P(C),P('C),P(C|X),P(X|C),Epsilon,Score
Flgs,01,3055,817,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.26743,0.99271,-0.179009,-0.00913248
Flgs,02,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.711166
Flgs,03,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.998848
Flgs,04,4,4,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00486027,3.29807,1.80978
Dur,00,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-2.04567
Dur,13,1,0,1,823,2238,3061,.26886638353479255145,.73113361646520744855,0,0,-0.606415,-1.89152
Dur,20,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.472755
Dur,31,1,1,0,823,2238,3061,.26886638353479255145,.73113361646520744855,1,0.00121507,1.64904,0.448801
Dur,40,264,1,263,823,2238,3061,.26886638353479255145,.73113361646520744855,0.00378788,0.00121507,-9.71426,-4.44735
Dur,41,141,33,108,823,2238,3061,.26886638353479255145,.73113361646520744855,0.234043,0.0400972,-0.932652,-0.200805
Dur,42,114,78,36,823,2238,3061,.26886638353479255145,.73113361646520744855,0.684211,0.0947752,10.0022,1.7198
Dur,43,109,94,15,823,2238,3061,.26886638353479255145,.73113361646520744855,0.862385,0.114216,13.9759,2.71045
Dur,44,101,80,21,823,2238,3061,.26886638353479255145,.73113361646520744855,0.792079,0.0972053,11.8597,2.24716
Dur,45,74,61,13,823,2238,3061,.26886638353479255145,.73113361646520744855,0.824324,0.0741191,10.7771,2.40401
Dur,46,78,54,24,823,2238,3061,.26886638353479255145,.73113361646520744855,0.692308,0.0656136,8.43478,1.73238
Dur,47,62,44,18,823,2238,3061,.26886638353479255145,.73113361646520744855,0.709677,0.0534629,7.82856,1.79055
Dur,48,75,67,8,823,2238,3061,.26886638353479255145,.73113361646520744855,0.893333,0.0814095,12.1976,2.90309
Dur,49,2039,309,1730,823,2238,3061,.26886638353479255145,.73113361646520744855,0.151545,0.375456,-11.9487,-0.724381
SrcAddr,3232235842,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
DstAddr,3232235886,1501,385,1116,823,2238,3061,.26886638353479255145,.73113361646520744855,0.256496,0.467801,-1.08098,-0.0646115
DstAddr,3232235896,1560,438,1122,823,2238,3061,.26886638353479255145,.73113361646520744855,0.280769,0.532199,1.06034,0.0586981
Proto,01,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
Sport,56280,802,147,655,823,2238,3061,.26886638353479255145,.73113361646520744855,0.183292,0.178615,-5.46595,-0.495008
Sport,56283,699,238,461,823,2238,3061,.26886638353479255145,.73113361646520744855,0.340486,0.289186,4.27077,0.33549
Sport,53741,713,241,472,823,2238,3061,.26886638353479255145,.73113361646520744855,0.338008,0.292831,4.16409,0.32451
Sport,53738,847,197,650,823,2238,3061,.26886638353479255145,.73113361646520744855,0.232586,0.239368,-2.38151,-0.195458
Dport,502,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
sTos,0,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
dTos,0,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
sDSb,01,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
dDSb,01,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
sTtl,64,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
dTtl,128,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
sHops,0,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
dHops,0,3061,823,2238,823,2238,3061,.26886638353479255145,.73113361646520744855,0.268866,1,0,0
sIpId,00,242,66,176,823,2238,3061,.26886638353479255145,.73113361646520744855,0.272727,0.0801944,0.135465,0.00888111
sIpId,01,228,64,164,823,2238,3061,.26886638353479255145,.73113361646520744855,0.280702,0.0777643,0.403072,0.0479727
sIpId,02,225,60,165,823,2238,3061,.26886638353479255145,.73113361646520744855,0.266667,0.072904,-0.0744203,-0.0224234
sIpId,03,223,53,170,823,2238,3061,.26886638353479255145,.73113361646520744855,0.237668,0.0643985,-1.05079,-0.175663
sIpId,10,240,64,176,823,2238,3061,.26886638353479255145,.73113361646520744855,0.266667,0.0777643,-0.076861,-0.0218231
sIpId,04,229,58,171,823,2238,3061,.26886638353479255145,.73113361646520744855,0.253275,0.0704739,-0.532148,-0.0915408
sIpId,11,232,64,168,823,2238,3061,.26886638353479255145,.73113361646520744855,0.275862,0.0777643,0.24033,0.0241621
sIpId,05,228,60,168,823,2238,3061,.26886638353479255145,.73113361646520744855,0.263158,0.072904,-0.194411,-0.040228
sIpId,12,240,66,174,823,2238,3061,.26886638353479255145,.73113361646520744855,0.275,0.0801944,0.214316,0.0201807
sIpId,06,251,72,179,823,2238,3061,.26886638353479255145,.73113361646520744855,0.286853,0.0874848,0.642702,0.078999
sIpId,13,28,5,23,823,2238,3061,.26886638353479255145,.73113361646520744855,0.178571,0.00607533,-1.07765,-0.582419
sIpId,07,239,69,170,823,2238,3061,.26886638353479255145,.73113361646520744855,0.288703,0.0838396,0.691669,0.087528
sIpId,08,220,57,163,823,2238,3061,.26886638353479255145,.73113361646520744855,0.259091,0.0692588,-0.327026,-0.0615433
sIpId,09,236,65,171,823,2238,3061,.26886638353479255145,.73113361646520744855,0.275424,0.0789793,0.227205,0.0221388
dIpId,00,244,60,184,823,2238,3061,.26886638353479255145,.73113361646520744855,0.245902,0.072904,-0.809077,-0.130176
