Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
1,1483136852.230045, e        ,4.717051,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x0112,0x5018,Start,12,26,738,1590,0.076923,1148.174927,2593.145508,0,0,0,0,0,0,384.396281,188.530594,466.410687,205.842734,CON,1868800,2048
2,1483136857.461401, e        ,4.475456,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x0b12,0x7d18,Status,10,25,610,1530,0.076923,981.352478,2625.877441,0,0,0,0,0,0,513.215594,199.590438,488.407188,226.346250,CON,1868800,2048
3,1483136862.591558, e        ,4.343358,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x1512,0xaa18,Status,10,25,610,1530,0.076923,1011.199158,2705.740479,0,0,0,0,0,0,513.507094,199.922359,487.623750,272.496750,CON,1868800,2048
4,1483136867.727237, e        ,4.207441,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x1f12,0xd718,Status,10,25,610,1530,0.076923,1043.864990,2793.146729,0,0,0,0,0,0,512.506594,199.990484,488.618750,328.840156,CON,1868800,2048
5,1483136872.852237, e        ,4.992519,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x2912,0x0519,Status,10,26,610,1590,0.076923,879.716248,2450.065918,0,0,0,0,0,0,516.819000,227.310688,484.156219,359.037125,CON,1868800,2048
6,1483136877.873773, e        ,4.993458,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x3312,0x3419,Status,10,26,610,1590,0.076923,879.550842,2449.605225,0,0,0,0,0,0,515.401000,193.172109,485.774656,268.920500,CON,1868800,2048
7,1483136882.884305, e        ,4.984151,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x3d12,0x6119,Status,10,25,610,1530,0.076923,881.193237,2357.874023,0,0,0,0,0,0,512.930594,200.049000,488.050500,226.508625,CON,1868800,2048
8,1483136887.884689, e        ,4.983584,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x4712,0x8e19,Status,10,25,610,1530,0.076923,881.293457,2358.142334,0,0,0,0,0,0,512.493406,199.992687,488.545094,207.865000,CON,1868800,2048
9,1483136892.885682, e        ,4.998093,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x5112,0xbc19,Status,10,26,610,1590,0.076923,878.735107,2447.333252,0,0,0,0,0,0,514.871094,192.903922,485.995812,222.251578,CON,1868800,2048
10,1483136897.943799, e        ,4.940080,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x5b12,0xe919,Status,10,25,610,1530,0.076923,889.054382,2378.908691,0,0,0,0,0,0,512.829594,200.004156,488.290687,265.521875,CON,1868800,2048
