Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
1,1483136309.875057, e        ,4.061691,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xd847,0xf909,Start,12,6,738,390,0.076923,1333.434814,640.127502,0,0,0,0,0,0,369.244625,812.185625,460.088406,375.738938,CON,1868800,2048
2,1483136309.876590, e        ,4.128434,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x9a25,0xec13,Start,22,11,1338,785,-0.174603,2476.483643,1383.575439,0,0,0,0,0,0,196.592094,409.688906,344.567094,452.160781,CON,1868800,2048
3,1483136314.914873, e        ,4.021846,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xe247,0xfe09,Status,10,5,610,330,0.076923,1092.035889,525.132019,0,0,0,0,0,0,499.997094,999.995813,477.968375,0.334805,CON,1868800,2048
4,1483136314.915428, e        ,4.099623,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xae25,0xf613,Status,20,10,1210,725,-0.174603,2244.108643,1274.263428,0,0,0,0,0,0,250.501344,500.077906,380.093094,462.353969,CON,1868800,2048
5,1483136319.915006, e        ,4.021768,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xec47,0x030a,Status,10,5,610,330,0.076923,1092.057007,525.142151,0,0,0,0,0,0,500.005500,1000.012000,477.937969,0.357519,CON,1868800,2048
6,1483136319.915484, e        ,4.099575,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xc225,0x0014,Status,20,10,1210,725,-0.174603,2244.135010,1274.278442,0,0,0,0,0,0,250.000406,500.029000,377.049156,462.846594,CON,1868800,2048
7,1483136324.915084, e        ,4.999780,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0xf747,0x080a,Status,11,5,678,330,0.166667,987.243408,422.418579,0,0,0,0,0,0,543.462750,1000.007000,475.857031,0.667693,CON,1868800,2048
8,1483136324.915539, e        ,4.999981,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xd725,0x0a14,Status,21,10,1278,725,-0.124620,1948.807495,1044.803955,0,0,0,0,0,0,280.974344,499.924688,396.268062,462.905531,CON,1868800,2048
9,1483136329.936618, e        ,4.978247,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x0148,0x0d0a,Status,10,5,610,330,0.076923,882.238220,424.245697,0,0,0,0,0,0,500.000094,1000.010000,477.893000,0.367577,CON,1868800,2048
10,1483136329.937550, e        ,4.999721,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xeb25,0x1514,Status,20,11,1210,791,-0.204893,1840.102661,1152.064331,0,0,0,0,0,0,249.997750,542.094250,378.174344,460.972406,CON,1868800,2048
11,1483136334.936772, e        ,4.978105,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x0b48,0x120a,Status,10,5,610,330,0.076923,882.263428,424.257812,0,0,0,0,0,0,500.001188,1000.022375,477.890688,0.364110,CON,1868800,2048
12,1483136334.937530, e        ,4.999649,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xff25,0x1f14,Status,20,10,1210,725,-0.174603,1840.129150,1044.873291,0,0,0,0,0,0,249.998156,499.990813,380.365375,463.070438,CON,1868800,2048
13,1483136339.936784, e        ,4.978080,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x1548,0x170a,Status,10,5,610,330,0.076923,882.267883,424.259979,0,0,0,0,0,0,499.998688,1000.042812,477.735281,0.327150,CON,1868800,2048
14,1483136339.937630, e        ,4.999777,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x1326,0x2914,Status,20,10,1210,725,-0.174603,1840.082153,1044.846680,0,0,0,0,0,0,249.999047,500.022812,379.247563,462.842906,CON,1868800,2048
15,1483136344.936894, e        ,4.977969,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x1f48,0x1c0a,Status,10,5,610,330,0.076923,882.287476,424.269409,0,0,0,0,0,0,499.999906,1000.000000,477.896219,0.453879,CON,1868800,2048
16,1483136344.937696, e        ,4.999851,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x2726,0x3314,Status,20,10,1210,725,-0.174603,1840.054810,1044.831055,0,0,0,0,0,0,250.000594,500.014000,379.240250,463.012656,CON,1868800,2048
17,1483136349.936950, e        ,4.977914,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x2948,0x210a,Status,10,5,610,330,0.076923,882.297302,424.274109,0,0,0,0,0,0,500.000094,1000.003812,477.933781,0.334989,CON,1868800,2048
18,1483136349.937842, e        ,4.999770,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x3c26,0x3d14,Status,21,10,1264,725,-0.174603,1926.488525,1044.848022,0,0,0,0,0,0,239.151469,499.925594,373.266344,462.974500,CON,1868800,2048
19,1483136354.937126, e        ,4.999468,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x3348,0x270a,Status,10,6,610,396,-0.014085,878.493469,528.056213,0,0,0,0,0,0,500.002094,999.953500,477.775281,0.359515,CON,1868800,2048
20,1483136354.955054, e        ,4.982757,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x5026,0x4714,Status,20,10,1210,725,-0.174603,1846.367310,1048.415527,0,0,0,0,0,0,250.009953,500.071312,379.241625,462.687937,CON,1868800,2048
21,1483136359.937006, e        ,4.999676,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x3d48,0x2c0a,Status,10,5,610,330,0.076923,878.456909,422.427368,0,0,0,0,0,0,500.017000,1000.017625,477.962531,2.141406,CON,1868800,2048
22,1483136359.955072, e        ,4.999994,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x6526,0x5114,Status,21,10,1276,725,-0.131498,1945.602417,1044.801270,0,0,0,0,0,0,238.916906,500.198000,374.918719,463.862594,CON,1868800,2048
23,1483136364.937472, e        ,4.999555,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x4848,0x310a,Status,11,5,664,330,0.076923,966.486023,422.437592,0,0,0,0,0,0,456.542906,999.989375,475.543187,0.609850,CON,1868800,2048
24,1483136364.974550, e        ,4.999505,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x7926,0x5c14,Status,20,11,1210,804,-0.235294,1840.182129,1169.715820,0,0,0,0,0,0,250.004547,457.687187,378.115063,460.323125,CON,1868800,2048
25,1483136370.005046, e        ,4.969464,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0x8d26,0x6614,Status,20,10,1210,725,-0.174603,1851.306396,1051.220093,0,0,0,0,0,0,249.994703,500.045500,378.135844,463.094812,CON,1868800,2048
26,1483136370.915063, e        ,4.999823,192.168.1.66,192.168.1.110,tcp,56280,502,0,0,cs0,cs0,64,128,0,0,0x5348,0x360a,Status,11,5,678,330,0.166667,987.234924,422.414948,0,0,0,0,0,0,543.441750,999.952625,475.850219,0.249043,CON,1868800,2048
27,1483136375.005048, e        ,4.999979,192.168.1.66,192.168.1.120,tcp,53738,502,0,0,cs0,cs0,64,128,0,0,0xa226,0x7014,Status,21,10,1264,725,-0.174603,1926.408081,1044.804443,0,0,0,0,0,0,240.475047,499.954406,371.457969,462.588375,CON,1868800,2048
